"BehaviorSpace results (NetLogo 5.0.2)"
"wsn_simulacion.nlogo"
"sweeping sources and buffer"
"07/12/2013 15:27:18:437 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-16","16"
"[run number]","buffer-length","number-of-sources","[step]","packets-sent-total","total-received-packets","total-congestion-losses","total-goodput","total-goodput-losses"
"122","16","2","357780","18750","9784","8966","9784","0"
"123","16","3","483576","28125","28125","0","28125","0"
"124","16","4","519394","35531","29598","5933","24741","4857"
"117","8","27","2105194","200000","40887","159113","26832","14055"
"125","16","5","669004","41770","37542","4228","28686","8856"
"116","8","26","2641973","204999","33522","171477","18058","15464"
"126","16","6","838818","55003","29410","25593","10924","18486"
"118","8","28","2593900","237639","39269","198370","18791","20478"
"127","16","7","953722","65625","36107","29518","16623","19484"
"128","16","8","989143","70893","31844","39049","21151","10693"
"129","16","9","1096164","84375","37020","47355","15016","22004"
"130","16","10","1318520","90617","28080","62537","2823","25257"
"119","8","29","2694936","239755","39241","200514","23834","15407"
"131","16","11","1543652","103125","32426","70699","19587","12839"
"133","16","13","1390499","116516","31803","84713","8876","22927"
"132","16","12","1437571","102343","44163","58180","21758","22405"
"134","16","14","1656133","111657","39326","72331","3954","35372"
"120","8","30","2917308","240701","38889","201812","31023","7866"
"135","16","15","1932409","138485","29408","109077","3079","26329"
"136","16","16","1778749","138010","39298","98712","21774","17524"
"137","16","17","1805033","151556","32375","119181","20821","11554"
"138","16","18","1850935","155450","33746","121704","10089","23657"
"140","16","20","2154247","181229","40895","140334","13429","27466"
"139","16","19","2170371","171337","36341","134996","15999","20342"
"141","16","21","2200255","187018","36842","150176","10243","26599"
"142","16","22","2396539","170026","44775","125251","5740","39035"
"144","16","24","2355215","194354","39329","155025","11537","27792"
"143","16","23","2514915","197914","46147","151767","2321","43826"
"151","32","1","150126","9375","9375","0","9375","0"
"145","16","25","2348987","211110","33630","177480","10071","23559"
"152","32","2","357908","18750","9800","8950","61","9739"
"153","32","3","483576","28125","28125","0","28125","0"
"154","32","4","520092","35613","29701","5912","15633","14068"
"147","16","27","2107279","199989","41071","158918","26976","14095"
"155","32","5","669472","41784","37606","4178","23209","14397"
"146","16","26","2647349","205019","33829","171190","11215","22614"
"156","32","6","839333","55009","29519","25490","1191","28328"
"148","16","28","2596591","237582","39454","198128","12380","27074"
"157","32","7","953653","65625","36179","29446","9545","26634"
"158","32","8","989068","70771","31852","38919","5360","26492"
"159","32","9","1097257","84375","37379","46996","7031","30348"
"149","16","29","2697551","239620","39386","200234","3697","35689"
"160","32","10","1319877","90649","28222","62427","360","27862"
"162","32","12","1439876","102383","44401","57982","13871","30530"
"163","32","13","1392882","116583","31991","84592","1723","30268"
"161","32","11","1543537","103125","32580","70545","4984","27596"
"164","32","14","1657805","111686","39591","72095","362","39229"
"150","16","30","2924101","240817","39194","201623","10748","28446"
"166","32","16","1781828","138114","39524","98590","14595","24929"
"165","32","15","1936041","138462","29694","108768","1109","28585"
"167","32","17","1808009","151628","32610","119018","5950","26660"
"168","32","18","1853206","155500","33977","121523","3149","30828"
"170","32","20","2157999","181117","41208","139909","4725","36483"
"169","32","19","2176601","171429","36578","134851","10626","25952"
"171","32","21","2205128","187165","37207","149958","2622","34585"
"174","32","24","2359519","194788","39534","155254","5784","33750"
"175","32","25","2355586","211841","33796","178045","1636","32160"
"173","32","23","2521339","198004","46623","151381","2044","44579"
"181","""infinito""","1","122022","9375","9375","0","9375","0"
"172","32","22","2403153","170096","45135","124961","2583","42552"
"182","""infinito""","2","304768","18750","18750","0","18750","0"
"183","""infinito""","3","386475","28125","28125","0","3543","24582"
"184","""infinito""","4","506612","37500","37500","0","93","37407"
"177","32","27","2111305","200019","41346","158673","26321","15025"
"185","""infinito""","5","672486","46875","46875","0","10710","36165"
"176","32","26","2654379","205120","34119","171001","4084","30035"
"186","""infinito""","6","895233","56250","56250","0","1678","54572"
"178","32","28","2602294","237984","39809","198175","11562","28247"
"187","""infinito""","7","1029058","65625","65625","0","7642","57983"
"189","""infinito""","9","1273486","84375","84375","0","401","83974"
"179","32","29","2699779","239745","39685","200060","200","39485"
"188","""infinito""","8","1421948","75000","75000","0","6817","68183"
"190","""infinito""","10","1753931","93750","93750","0","3639","90111"
"191","""infinito""","11","1877668","103125","103125","0","4940","98185"
"180","32","30","2929244","241215","39429","201786","2188","37241"
"192","""infinito""","12","1883670","112500","112500","0","13024","99476"
"193","""infinito""","13","1986397","121875","121875","0","2467","119408"
"195","""infinito""","15","2311559","140625","140625","0","186","140439"
"194","""infinito""","14","2381897","131250","131250","0","547","130703"
"196","""infinito""","16","2512950","150000","150000","0","247","149753"
"197","""infinito""","17","2379346","159375","159375","0","2057","157318"
"198","""infinito""","18","2895058","168750","168750","0","2800","165950"
"199","""infinito""","19","2694088","178125","178125","0","16367","161758"
"200","""infinito""","20","3021912","187500","187500","0","2058","185442"
"202","""infinito""","22","3555007","206250","206250","0","1512","204738"
"203","""infinito""","23","3629935","215625","215625","0","737","214888"
"201","""infinito""","21","3414433","196875","196875","0","9614","187261"
"204","""infinito""","24","3955960","225000","225000","0","357","224643"
"205","""infinito""","25","3806539","234375","234375","0","410","233965"
"206","""infinito""","26","4102761","243750","243750","0","2942","240808"
"207","""infinito""","27","4268764","253125","253125","0","224","252901"
"208","""infinito""","28","4608261","262500","262500","0","192","262308"
